LogID,ContractID,SourceFile,Status
97,Part C MOR,H4567.HCCMODD.R202504.D250401.T083015t,Success
98,Part C MOR,H6789.HCCMODD.R202501.D250101.T083015t,Success
99,Part C MOR,H6789.HCCMODD.R202502.D250201.T083015t,Success
100,Part C MOR,H6789.HCCMODD.R202503.D250301.T083015t,Success
101,Part C MOR,H6789.HCCMODD.R202504.D250401.T083015t,Success
102,Part D MOR,H1234.PTDMODD.R202501.D250101.T083015t,Success
103,Part D MOR,H1234.PTDMODD.R202502.D250201.T083015t,Success
104,Part D MOR,H1234.PTDMODD.R202503.D250301.T083015t,Success
105,Part D MOR,H1234.PTDMODD.R202504.D250401.T083015t,Success
106,Part D MOR,H2345.PTDMODD.R202501.D250101.T083015t,Success
107,Part D MOR,H2345.PTDMODD.R202502.D250201.T083015t,Success
108,Part D MOR,H2345.PTDMODD.R202503.D250301.T083015t,Success
109,Part D MOR,H2345.PTDMODD.R202504.D250401.T083015t,Success
110,Part D MOR,H3456.PTDMODD.R202501.D250101.T083015t,Success
111,Part D MOR,H3456.PTDMODD.R202502.D250201.T083015t,Success
112,Part D MOR,H3456.PTDMODD.R202503.D250301.T083015t,Success
113,Part D MOR,H3456.PTDMODD.R202504.D250401.T083015t,Success
114,Part D MOR,H4567.PTDMODD.R202501.D250101.T083015t,Success
115,Part D MOR,H4567.PTDMODD.R202502.D250201.T083015t,Success
116,Part D MOR,H4567.PTDMODD.R202503.D250301.T083015t,Success
117,Part D MOR,H4567.PTDMODD.R202504.D250401.T083015t,Success
118,Part D MOR,H6789.PTDMODD.R202501.D250101.T083015t,Success
119,Part D MOR,H6789.PTDMODD.R202502.D250201.T083015t,Success
120,Part D MOR,H6789.PTDMODD.R202503.D250301.T083015t,Success
121,Part D MOR,H6789.PTDMODD.R202504.D250401.T083015t,Success
122,HCCMOFD,H1234.HCCMOFD.Y2021.C10101.T082015,Success
123,HCCMOFD,H1234.HCCMOFD.Y2022.C10101.T082015,Success
124,HCCMOFD,H1234.HCCMOFD.Y2023.C10101.T082015,Success
125,HCCMOFD,H1234.HCCMOFD.Y2024.C10101.T082015,Success
126,HCCMOFD,H1234.HCCMOFD.Y2025.C10101.T082015,Success
127,HCCMOFD,H2345.HCCMOFD.Y2025.C10234.T091230,Success
128,HCCMOFD,H2345.HCCMOFD.Y2024.C10234.T091230,Success
129,HCCMOFD,H2345.HCCMOFD.Y2023.C10234.T091230,Success
130,HCCMOFD,H2345.HCCMOFD.Y2022.C10234.T091230,Success
131,HCCMOFD,H2345.HCCMOFD.Y2021.C10234.T091230,Success
132,HCCMOFD,H3456.HCCMOFD.Y2025.C10345.T103015,Success
133,HCCMOFD,H3456.HCCMOFD.Y2024.C10345.T103015,Success
134,HCCMOFD,H3456.HCCMOFD.Y2023.C10345.T103015,Success
135,HCCMOFD,H3456.HCCMOFD.Y2022.C10345.T103015,Success
136,HCCMOFD,H3456.HCCMOFD.Y2021.C10345.T103015,Success
137,HCCMOFD,H4567.HCCMOFD.Y2025.C10456.T113000,Success
138,HCCMOFD,H4567.HCCMOFD.Y2024.C10456.T113000,Success
139,HCCMOFD,H4567.HCCMOFD.Y2023.C10456.T113000,Success
140,HCCMOFD,H4567.HCCMOFD.Y2022.C10456.T113000,Success
141,HCCMOFD,H4567.HCCMOFD.Y2021.C10456.T113000,Success
142,HCCMOFD,H5678.HCCMOFD.Y2025.C10567.T123500,Success
143,HCCMOFD,H5678.HCCMOFD.Y2024.C10567.T123500,Success
144,HCCMOFD,H5678.HCCMOFD.Y2023.C10567.T123500,Success
145,HCCMOFD,H5678.HCCMOFD.Y2022.C10567.T123500,Success
146,HCCMOFD,H5678.HCCMOFD.Y2021.C10567.T123500,Success
147,PTDMOFD,H1234.R202101.PTDMOFD.D210101.T082015t,Success
148,PTDMOFD,H1234.R202201.PTDMOFD.D220101.T082015t,Success
149,PTDMOFD,H1234.R202301.PTDMOFD.D230101.T082015t,Success
150,PTDMOFD,H1234.R202401.PTDMOFD.D240101.T082015t,Success
151,PTDMOFD,H1234.R202501.PTDMOFD.D250101.T082015t,Success
152,PTDMOFD,H2345.R202101.PTDMOFD.D210101.T082015t,Success
153,PTDMOFD,H2345.R202201.PTDMOFD.D220101.T082015t,Success
154,PTDMOFD,H2345.R202301.PTDMOFD.D230101.T082015t,Success
155,PTDMOFD,H2345.R202401.PTDMOFD.D240101.T082015t,Success
156,PTDMOFD,H2345.R202501.PTDMOFD.D250101.T082015t,Success
157,PTDMOFD,H3456.R202101.PTDMOFD.D210101.T082015t,Success
158,PTDMOFD,H3456.R202201.PTDMOFD.D220101.T082015t,Success
159,PTDMOFD,H3456.R202301.PTDMOFD.D230101.T082015t,Success
160,PTDMOFD,H3456.R202401.PTDMOFD.D240101.T082015t,Success
161,PTDMOFD,H3456.R202501.PTDMOFD.D250101.T082015t,Success
162,PTDMOFD,H4567.R202101.PTDMOFD.D210101.T082015t,Success
163,PTDMOFD,H4567.R202201.PTDMOFD.D220101.T082015t,Success
164,PTDMOFD,H4567.R202301.PTDMOFD.D230101.T082015t,Success
165,PTDMOFD,H4567.R202401.PTDMOFD.D240101.T082015t,Success
166,PTDMOFD,H4567.R202501.PTDMOFD.D250101.T082015t,Success
167,DTRR,H1234.R202506.DTRRD.D250601.T074501t,Success
168,DTRR,H1234.R202506.DTRRD.D250602.T074501t,Success
169,DTRR,H1234.R202506.DTRRD.D250603.T074501t,Success
170,DTRR,H1234.R202506.DTRRD.D250604.T074501t,Success
171,DTRR,H2345.R202506.DTRRD.D250601.T074501t,Success
172,DTRR,H2345.R202506.DTRRD.D250602.T093020t,Success
173,DTRR,H2345.R202506.DTRRD.D250603.T074501t,Success
174,DTRR,H2345.R202506.DTRRD.D250604.T081300t,Success
175,DTRR,H3456.R202506.DTRRD.D250601.T074501t,Success
176,DTRR,H3456.R202506.DTRRD.D250602.T093020t,Success
177,DTRR,H3456.R202506.DTRRD.D250603.T074501t,Success
178,DTRR,H3456.R202506.DTRRD.D250604.T081300t,Success
179,DTRR,H4567.R202506.DTRRD.D250601.T074501t,Success
180,DTRR,H4567.R202506.DTRRD.D250602.T093020t,Success
181,DTRR,H4567.R202506.DTRRD.D250603.T074501t,Success
182,DTRR,H4567.R202506.DTRRD.D250604.T081300t,Success
183,DTRR,H5678.R202506.DTRRD.D250601.T074501t,Success
184,DTRR,H5678.R202506.DTRRD.D250602.T093020t,Success
185,DTRR,H5678.R202506.DTRRD.D250603.T074501t,Success
186,DTRR,H5678.R202506.DTRRD.D250604.T081300t,Success
187,Agent Broker,H1234.R202504.COMPRPT.D250401.T101010t,Success
188,Agent Broker,H1234.R202505.COMPRPT.D250501.T111111t,Success
189,Agent Broker,H1234.R202503.COMPRPT.D250301.T121212t,Success
190,Agent Broker,H1234.R202502.COMPRPT.D250201.T131313t,Success
191,Agent Broker,H1234.R202501.COMPRPT.D250101.T141414t,Success
192,Agent Broker,H2345.R202504.COMPRPT.D250401.T101010t,Success
193,Agent Broker,H2345.R202505.COMPRPT.D250501.T111111t,Success
194,Agent Broker,H2345.R202503.COMPRPT.D250301.T121212t,Success
195,Agent Broker,H2345.R202502.COMPRPT.D250201.T131313t,Success
196,Agent Broker,H2345.R202501.COMPRPT.D250101.T141414t,Success
197,Agent Broker,H3456.R202504.COMPRPT.D250401.T101010t,Success
198,Agent Broker,H3456.R202505.COMPRPT.D250501.T111111t,Success
199,Agent Broker,H3456.R202503.COMPRPT.D250301.T121212t,Success
200,Agent Broker,H3456.R202502.COMPRPT.D250201.T131313t,Success
201,Agent Broker,H3456.R202501.COMPRPT.D250101.T141414t,Success
202,Agent Broker,H4567.R202504.COMPRPT.D250401.T101010t,Success
203,Agent Broker,H4567.R202505.COMPRPT.D250501.T111111t,Success
204,Agent Broker,H4567.R202503.COMPRPT.D250301.T121212t,Success
205,Agent Broker,H4567.R202502.COMPRPT.D250201.T131313t,Success
206,Agent Broker,H4567.R202501.COMPRPT.D250101.T141414t,Success
207,LIS,H1111.R202504.LISPRMD.D240401.T075000t,Success
208,LIS,H1111.R202504.LISPRMD.D240415.T080000t,Success
209,LIS,H1111.R202505.LISPRMD.D240501.T083000t,Success
210,LIS,H1111.R202505.LISPRMD.D240515.T090000t,Success
211,LIS,H1111.R202506.LISPRMD.D240601.T093000t,Success
212,LIS,H2222.R202504.LISPRMD.D240401.T075000t,Success
213,LIS,H2222.R202504.LISPRMD.D240415.T080000t,Success
214,LIS,H2222.R202505.LISPRMD.D240501.T083000t,Success
215,LIS,H2222.R202505.LISPRMD.D240515.T090000t,Success
216,LIS,H2222.R202506.LISPRMD.D240601.T093000t,Success
217,LIS,H3333.R202504.LISPRMD.D240401.T075000t,Success
218,LIS,H3333.R202504.LISPRMD.D240415.T080000t,Success
219,LIS,H3333.R202505.LISPRMD.D240501.T083000t,Success
220,LIS,H3333.R202505.LISPRMD.D240515.T090000t,Success
221,LIS,H3333.R202506.LISPRMD.D240601.T093000t,Success
222,LIS,H4444.R202504.LISPRMD.D240401.T075000t,Success
223,LIS,H4444.R202504.LISPRMD.D240415.T080000t,Success
224,LIS,H4444.R202505.LISPRMD.D240501.T083000t,Success
225,LIS,H4444.R202505.LISPRMD.D240515.T090000t,Success
226,LIS,H4444.R202506.LISPRMD.D240601.T093000t,Success
227,LIS,H4567.R202504.LISPRMD.D240401.T075000t,Success
228,LIS,H4567.R202504.LISPRMD.D240415.T080000t,Success
229,LIS,H4567.R202505.LISPRMD.D240501.T083000t,Success
230,LIS,H4567.R202505.LISPRMD.D240515.T090000t,Success
231,LIS,H4567.R202506.LISPRMD.D240601.T093000t,Success
232,LISHIST,H1234.R202504.LISHIST.D250401.T101010t,Success
233,LISHIST,H1234.R202505.LISHIST.D250501.T111111t,Success
234,LISHIST,H1234.R202503.LISHIST.D250301.T121212t,Success
235,LISHIST,H1234.R202502.LISHIST.D250201.T131313t,Success
236,LISHIST,H1234.R202501.LISHIST.D250101.T141414t,Success
237,LISHIST,H2345.R202504.LISHIST.D250401.T101010t,Success
238,LISHIST,H2345.R202505.LISHIST.D250501.T111111t,Success
239,LISHIST,H2345.R202503.LISHIST.D250301.T121212t,Success
240,LISHIST,H2345.R202502.LISHIST.D250201.T131313t,Success
241,LISHIST,H2345.R202501.LISHIST.D250101.T141414t,Success
242,LISHIST,H3456.R202504.LISHIST.D250401.T101010t,Success
243,LISHIST,H3456.R202505.LISHIST.D250501.T111111t,Success
244,LISHIST,H3456.R202503.LISHIST.D250301.T121212t,Success
245,LISHIST,H3456.R202502.LISHIST.D250201.T131313t,Success
246,LISHIST,H3456.R202501.LISHIST.D250101.T141414t,Success
247,LISHIST,H4567.R202504.LISHIST.D250401.T101010t,Success
248,LISHIST,H4567.R202505.LISHIST.D250501.T111111t,Success
249,LISHIST,H4567.R202503.LISHIST.D250301.T121212t,Success
250,LISHIST,H4567.R202502.LISHIST.D250201.T131313t,Success
251,LISHIST,H4567.R202501.LISHIST.D250101.T141414t,Success
252,MCMD,H1234.MCMD.D250401.T101010t,Success
253,MCMD,H1234.MCMD.D250501.T111111t,Success
254,MCMD,H1234.MCMD.D250301.T121212t,Success
255,MCMD,H1234.MCMD.D250201.T131313t,Success
256,MCMD,H1234.MCMD.D250101.T141414t,Success
257,MCMD,H2345.MCMD.D250401.T101010t,Success
258,MCMD,H2345.MCMD.D250501.T111111t,Success
259,MCMD,H2345.MCMD.D250301.T121212t,Success
260,MCMD,H2345.MCMD.D250201.T131313t,Success
261,MCMD,H2345.MCMD.D250101.T141414t,Success
262,MCMD,H3456.MCMD.D250401.T101010t,Success
263,MCMD,H3456.MCMD.D250501.T111111t,Success
264,MCMD,H3456.MCMD.D250301.T121212t,Success
265,MCMD,H3456.MCMD.D250101.T141414t,Success
266,MCMD,H4567.MCMD.D250201.T131313t,Success
267,BQN,H6543.R202503.#BQN4.D240301.T063050t,Success
268,Monthly MSP,H1234.R202505.MSPCOBMA.D250501.T111111t,Success
269,Monthly MSP,H2345.R202504.MSPCOBMA.D250401.T101010t,Success
270,Monthly MSP,H2345.R202501.MSPCOBMA.D250101.T141414t,Success
271,Monthly MSP,H3456.R202502.MSPCOBMA.D250201.T131313t,Success
272,Monthly MSP,H4567.R202503.MSPCOBMA.D250301.T121212t,Success
273,FEDF ,H1234.FEFD.R202502.D250201.T083015t,Success
274,FEDF ,H2345.FEFD.R202502.D250201.T083015t,Success
275,FEDF ,H3456.FEFD.R202502.D250201.T083015t,Success
276,FEDF ,H4567.FEFD.R202502.D250201.T083015t,Success
277,FEDF ,H6789.FEFD.R202502.D250201.T083015t,Success
278,COB–OHI,H1234.R202506.MARXCOB.D250602.T074501t,Success
279,COB–OHI,H2345.R202506.MARXCOB.D250602.T093020t,Success
280,COB–OHI,H3456.R202506.MARXCOB.D250602.T093020t,Success
281,COB–OHI,H4567.R202506.MARXCOB.D250602.T093020t,Success
282,COB–OHI,H5678.R202506.MARXCOB.D250602.T093020t,Success
283,MAO-2,ENC5890.XX.MAO002.FLAT.D240701.T134010t,Processing
284,MCMD,H3456.MCMD.D250201.T131313t,Processing
285,MCMD,H4567.MCMD.D250301.T121212t,Processing
286,BQN,H7654.R202505.#BQN4.D240501.T062030t,Processing
287,Monthly MSP,H1234.R202504.MSPCOBMA.D250401.T101010t,Processing
288,Monthly MSP,H1234.R202501.MSPCOBMA.D250101.T141414t,Processing
289,Monthly MSP,H2345.R202502.MSPCOBMA.D250201.T131313t,Processing
290,Monthly MSP,H3456.R202503.MSPCOBMA.D250301.T121212t,Processing
291,Monthly MSP,H4567.R202505.MSPCOBMA.D250501.T111111t,Processing
292,FEDF ,H1234.FEFD.R202501.D250101.T083015t,Processing
293,FEDF ,H2345.FEFD.R202501.D250101.T083015t,Processing
294,FEDF ,H3456.FEFD.R202501.D250101.T083015t,Processing
295,FEDF ,H4567.FEFD.R202501.D250101.T083015t,Processing
296,FEDF ,H6789.FEFD.R202501.D250101.T083015t,Processing
297,COB–OHI,H1234.R202506.MARXCOB.D250601.T074501t,Processing
298,COB–OHI,H2345.R202506.MARXCOB.D250601.T074501t,Processing
299,COB–OHI,H3456.R202506.MARXCOB.D250601.T074501t,Processing
300,COB–OHI,H4567.R202506.MARXCOB.D250601.T074501t,Processing
301,COB–OHI,H5678.R202506.MARXCOB.D250601.T074501t,Processing
302,MAO-4,H0001.MAO00440.D250306.T081530t,Success
303,COB–OHI,H5678.R202506.MARXCOB.D250603.T074501t,Success
304,MAO-4,H0001.MAO00440.D250306.T081530t,Success
305,MMR,H1234.MONMEMD.R202502.D250201.T083015t,Success
306,MCMD,H4567.MCMD.D250401.T101010t,Success
307,MCMD,H4567.MCMD.D250101.T141414t,Success
308,BQN,H5432.R202504.#BQN4.D240401.T064110t,Success
309,Monthly MSP,H1234.R202503.MSPCOBMA.D250301.T121212t,Success
310,Monthly MSP,H2345.R202505.MSPCOBMA.D250501.T111111t,Success
311,Monthly MSP,H3456.R202504.MSPCOBMA.D250401.T101010t,Success
312,Monthly MSP,H3456.R202501.MSPCOBMA.D250101.T141414t,Success
313,Monthly MSP,H4567.R202502.MSPCOBMA.D250201.T131313t,Success
314,FEDF ,H1234.FEFD.R202503.D250301.T083015t,Success
315,FEDF ,H2345.FEFD.R202503.D250301.T083015t,Success
316,FEDF ,H3456.FEFD.R202503.D250301.T083015t,Success
317,FEDF ,H4567.FEFD.R202503.D250301.T083015t,Success
318,FEDF ,H6789.FEFD.R202503.D250301.T083015t,Success
319,COB–OHI,H1234.R202506.MARXCOB.D250603.T074501t,Processing
320,COB–OHI,H2345.R202506.MARXCOB.D250603.T074501t,Processing
321,COB–OHI,H3456.R202506.MARXCOB.D250603.T074501t,Processing
322,COB–OHI,H4567.R202506.MARXCOB.D250603.T074501t,Scheduled
323,COB–OHI,H5678.R202506.MARXCOB.D250603.T074501t,Scheduled
